id;titolo;tipo;prezzo
bebdcaaa-3cf5-4d84-a9f9-cb5e4161ac8b;zebra;PRIVATO;16837.18
d12f6314-fdb0-4b99-85d6-c2138ee922d9;mmm sharply usefully;PRIVATO;14048.35
c8a49dcf-e3a2-41d9-badd-5785d534a3e2;toward;PUBBLICO;20792.91
2cc4c3f1-3f7e-47b5-b93c-da58748c095d;from dapper;PUBBLICO;32276.52
9c5fc1df-1ba5-42d6-912a-25666db03e45;moral ha;PRIVATO;20363.94
4e03efff-e254-47d8-bb0b-cdbefbe81d36;or via kaleidoscopic;PRIVATO;4901.36
7a7d49ff-8d77-48b9-8726-caa1473d0f2d;solemnly inspect;PRIVATO;17415.6
ab578d6e-8d2f-423b-8aca-3e29d7e0dcba;despite executor;PRIVATO;6447.44
3807883f-0efa-4ef4-a670-e1eff1c9f3d6;condense;PRIVATO;30473.79
a77870fa-ca27-4771-bede-0ba8ee4e3433;airbrush even unfinished;PUBBLICO;12174.72
