id;data;ora_inizio;ora_fine
9bb6bc75-f53e-420e-a81b-672ea96c70a1;2026-01-21;14:52:00;08:36:00
ec87b06f-4d5f-43f1-8e52-b8c39dcb4184;2026-01-20;04:51:00;10:41:00
6508cace-ba98-46f5-862b-1eef62cbf47a;2026-01-20;10:21:00;15:08:00
8f4f4e83-21cc-40bd-b7d4-39baa8c59ada;2026-01-21;00:26:00;20:01:00
b23fa1cf-879c-4bfd-8472-5e591b3a9bda;2026-01-20;03:04:00;12:26:00
b1d50993-a9ec-4c13-983a-6b27ef855118;2026-01-21;22:53:00;23:56:00
49e9ced3-8829-4e40-8706-0f97bff3b7ef;2026-01-21;16:29:00;19:57:00
21aa1e3c-6623-45c1-8225-3e46ce3fc544;2026-01-21;16:18:00;05:03:00
ebaecba4-ecc1-4d4b-8acf-1aaeee50a54c;2026-01-21;14:32:00;19:01:00
1122e19e-d4f6-469c-b772-983dde036c97;2026-01-20;09:54:00;02:04:00
