id;nome;capienza;descrizione
028039cd-22fc-49d5-a71a-afd7d8e1972c;upside-down ah blond;22478;above gleefully machine
174022e4-3e72-4c02-bc6b-78d531df1a54;towards;4268;smuggle
730f9c68-3f01-4596-a04b-432f17922bb1;yin until;25689;modulo quizzically brush
78b6a2fb-2cfd-4933-ab6b-a7342cb136de;majestically overwork roughly;30071;which bell velvety
e6e783e7-bd6b-4e1e-a2a8-99560df04785;jaywalk lest;3463;until possible hmph
feee8b6e-8043-4038-9fcf-934d7f3d6fbb;ah;3782;close
c9b1255a-a282-4298-b44c-aa35cb73d3b9;foretell instantly any;1248;dual
6144802e-0ae0-4dd3-9ae0-1ad966952b34;mechanically;2110;what
77ba670f-2d92-4a4e-a8c8-66fa9068415c;round;13445;eek fail ugh
ab93f06c-dc47-478d-883a-709d9dfde3a6;browse phooey pillory;16020;neat
