id;descrizione;codice;ordine_azione
bed4e080-ea90-4d55-a5e6-86b57cdca81e;when boom including;CONFIRMED;10707
eaeaf9ad-05ed-4d83-909f-adf293e621f1;ew reasonable;REJECTED;14398
07b54656-921d-45b4-83c0-1a39d005a048;crumble before squeaky;REJECTED;31093
be13b684-449c-4f9a-869e-c9965a2bb597;simplistic;CONFIRMED;6060
d50b57b6-11e6-4168-a56b-89a764c1fe4d;except singing;REJECTED;31224
d799bdb0-def8-4f55-941e-1e913a047b1f;kiddingly adventurously avaricious;CANCELLED;16629
b3b8ddc8-1ce4-4b51-9850-c94413321314;devil save;REJECTED;3281
76f9fae8-d864-46bd-8734-361aba5a7b9a;oof honestly;CONFIRMED;17049
09bceb95-2c3b-413d-abee-97b1a6bea5cb;or athwart which;WAITING;27013
7b4bac51-89ae-461f-bf82-370cbbbc79a1;consign tremendously tremendously;WAITING;23617
